,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
1,5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7SK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217.1,0,0,1,1,0,0,0,63.74,0,0,34.68,1,0.66,0,0
4,A1BG,210.33,97.94,117.72,102.05,146.96,53.46,93.16,102.06,138.84,122.3,145.54,67.68,46.24,78.4,78.11,86.9,2784.58,845.88,578.12,1385.87,338.7,225.45,383.76,234.83,431.41,349.66,427.44,415.91,583.94,614.75,658.28,461.6
5,A1BG-AS1,594,256.89,215.61,260.92,301.75,171.04,176.46,199.85,252.96,255.22,230.13,231.91,243.09,259.08,191.62,330.68,2585.25,684.86,569.1,1403.96,470.86,500.37,430.35,393.01,413.36,415.32,472.91,700.66,689.82,915.91,713.68,454.05
6,A1CF,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,A2M,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5.53,1,0,0.36,2.87,0,0,2,0,2.6,0,2,0.64,0,0
8,A2M-AS1,0,1,4,1,3,1,2,2,3,6,6,0,3,4,4,1,17,2.47,4,15,3.64,7.13,5,1,8,1,4.4,2,24,2.36,5,2
9,A2ML1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
